nodo_id,etiqueta,grado,estado
video:RjG-y7Y2-k4,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,aislado observado
video:Rk-3ks9mh3o,CIV ✔️ garantiza transparencia 🔍 y rendición de cuentas📝,0,aislado observado
video:ShYWqmOpjFk,Ministro de Comunicaciones reitera sobre avances en ruta Palín-Escuintla,0,aislado observado
video:SryjaiL2B4Q,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,aislado observado
video:THY2YBne3QE,"Los ALUCINANTES autobuses de Guatemala | ""Burras""",0,aislado observado
video:TSID63-IC3Y,Operativo Relámpago de -PROVIAL - DGT - DIACO -  en 41 Calle Zona 8 de la ciudad Capital.,0,aislado observado
video:TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",0,aislado observado
video:TTijnAoFnzY,Conred reprograma simulacro nacional para el 24 de febrero,0,aislado observado
video:TXlMv6bt25w,"Más de 42 mil afectados por lluvias en Guatemala; Conred reporta 1,046 emergencias",0,aislado observado
video:TnZGNY1RsJE,Festival navideño 2025 @MunicipalidaddeGuatemala-1551,0,aislado observado
video:UDFS8gl80h8,#AprendeConCONRED qué es el Sistema CONRED y quienes lo conforman.,0,aislado observado
video:UTf26hS1UJ8,🚦💙 PROVIAL: Proteger y Servir,0,aislado observado
video:UcvHq8j-J38,"Ministerio de Comunicaciones, Infraestructura y Vivienda y los Consejos de Desarrollo",0,aislado observado
video:UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,0,aislado observado
video:UzeOcBM9cuU,Conred Podcast Episodio 04: Amenaza sísmica y volcánica en Guatemala,0,aislado observado
video:VfBrLONPnFM,ME quité el MIEDO de viajar en los buses de GUATEMALA 🔥,0,aislado observado
video:VgcpKa1h_2Q,CONQUISTA LA CIUDAD / 21K BAM de la Municipalidad de Guatemala,0,aislado observado
video:VuIl4tjeKGQ,La ciudad sigue modernizándose para ti y tu familia.,0,aislado observado
video:W415t12o3DA,Mujer con crisis nerviosa tras intento de asalto,0,aislado observado
video:WQcgx8rs0Qo,"PMT SE BURL4 DE UN MOTORISTA D1SC4PACIT4D0, DISCULPESE POR FAVOR VILLA NUEVA, GUATEMALA.",0,aislado observado
video:WXA2Apo79jA,Resumen de atención a Emergencias CIV,0,aislado observado
video:WXgGL9rZUHo,#EnvivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,aislado observado
video:XLkVzqqL34Q,Nueva Mega Autopista Xochi en Guatemala 🇬🇹 ¿Vale la pena? (Te ahorra hasta 3 horas),0,aislado observado
video:XVZM15KVXjM,Conoce sobre la actualización de la Norma para la Reducción de Desastres número 2 (NRD2).,0,aislado observado
video:X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,0,aislado observado
video:XktDG8dmcd0,Torrenciales lluvias dejan decenas de muertos y miles de evacuados,0,aislado observado
video:YJohmVLc9QA,How to Get Around Guatemala: Complete Transportation Guide (2026),0,aislado observado
video:YLFXK2c60Xc,Por estas razones el 65% de las denuncias por violación en Guatemala nunca llega a un tribunal,0,aislado observado
video:YSsECnqTVik,Suscriben convenios para transferencia de fondos a CAIMUS y entidades especializadas,0,aislado observado
video:ZHJoIah2Owo,Conoce como funciona el Sistema Conred  #laprevenciónestareadetodos,0,aislado observado
video:ZNwStkzWgso,Elección judicial en Guatemala: Astrid Lemus y Luis Bermejo electos para corte de constitucionalidad,0,aislado observado
video:ZPBiWdHXg20,Piloto de tráiler accidentado en ruta al Atlántico era un menor y murió en el lugar,0,aislado observado
video:ZS74P3DnykA,"Policía Nacional Civil gradúa 3,978 nuevos agentes",0,aislado observado
video:Z_pWnOi7oRw,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,0,aislado observado
video:ZhrDgVZkhg4,FORMACION BRIGADA DE PROVIAL,0,aislado observado
video:_1VIxOLyaUQ,Sonido de trafico y ciudad 💤 ruido de calle para dormir bebés y relajarse,0,aislado observado
video:_3kK0or6QI0,PROVIAL guatemala,0,aislado observado
video:_Lcbi4NCHRA,Tercer Informe General de la República,0,aislado observado
video:_NSq2q0mzCY,42K y 21K MuniGuate 🏃🏻🏃🏻‍♀️,0,aislado observado
video:_cUZT7LMKE0,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0,aislado observado
video:a2zgl-1KZwY,#CadenaNacional | Mensaje del Presidente Bernardo Arévalo a la nación,0,aislado observado
video:a3QGSpNx9Mg,Guatemala ya no aguanta el tráfico… ¿Funcionará el Aerómetro?,0,aislado observado
video:a6QFfhpY53g,Provial Informa,0,aislado observado
video:aRKgOSxgsF0,@GobiernodeGuatemala,0,aislado observado
video:aSbvMYJhmCc,Policía Nacional Civil,0,aislado observado
video:a_kAe9IhBbo,Tráiler impacta pasarela en Aguilar Batres y provoca cierre parcial hacia la capital,0,aislado observado
video:ahicr7fQREY,Conred Podcast Episodio 9: Servidores Cívicos construyendo una cultura de prevención,0,aislado observado
video:almmnboHkwM,Se mueve Guate 🚌,0,aislado observado
video:anFbrgqxdzY,Horas Antes del Big One | Dentro de Ciudad de Guatemala Exactamente Antes del Terremoto (1976),0,aislado observado
video:aoz2j4TTl4E,Rutas Alternas a partir del lunes 03 de agosto por avances de #AeroMetroGT,0,aislado observado
video:bBz8nX4pMxc,Conred e Insivumeh informan sobre sismos en Guatemala este 31 de julio,0,aislado observado
video:bMoENbSBSNs,¿Por qué Guatemala es una República? El decreto del 21 de marzo de 1847 y Rafael Carrera,0,aislado observado
video:b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,1,hoja
video:bg1KCMaIrRM,"¡Atención, vecinos!",0,aislado observado
video:bzosgvntOXU,Municipalidad de Guatemala 05/09/2025,0,aislado observado
video:cl3Rpw9MstQ,Municipalidad de Guatemala sigue trabajando,0,aislado observado
video:cpoiRUtF9uU,Congreso termina jornada sin acuerdos para aliviar precio de combustibles #ALAS7AM (02/09/2026),0,aislado observado
video:csqia7f3OIE,SISTEMA CONRED Y METODOLOGÍA DE LOS 6 PASOS,0,aislado observado
video:d-V_Aw1t6nI,Graduacion  de la 57 Promocion  de la Policia Nacional Civil  de Guatemala.,0,aislado observado
video:dJcNu9YYwh4,"Lluvias, ceniza y calor extremo: así estará el clima en Guatemala, según Insivumeh",0,aislado observado
video:dLctzx8qCgA,¿Cómo la CIA ALTERÓ el DESTINO de GUATEMALA para siempre?,0,aislado observado
video:dWhSTyhegeQ,Personal de Provial explica de empresas que verificarán implementación de limitadores de velocidad,0,aislado observado
video:dccwBXfxxiI,¡Espacios iluminados y seguros!,0,aislado observado
video:dsyLiSCrwcU,"3 KIEBRES ES DOLOROSO QUE EN CHIQUIMULA AÚN HAY COMUNIDADES SIN ENERGÍA ELÉCTRICA, GUATEMALA.",0,aislado observado
video:dvy9rQpqLWY,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,0,aislado observado
video:dya9nbxqWXE,ANDY EL MUÑEQUITO TRABAJADOR 🥴🏍🥴🤣@Soychap1n @lucilaylossinar @lilyvlogs6899,0,aislado observado
video:ebbgBtNrRz8,Las fuertes lluvias en Guatemala dejan al menos tres fallecidos en zonas rurales | Telemundo,0,aislado observado
video:ewdf3q1tuCA,INTERPOL Guatemala captura a mujer por prostituir a señoritas,0,aislado observado
video:fBljA_npiMs,Refuerzan acciones para prevenir y combatir la trata de personas,0,aislado observado
video:fenMcON-DjY,Encendido del Fuego Patrio y Mensaje Vicepresidencial,0,aislado observado
video:ffguGnMImL0,CIV inicia trabajos de bacheo y limpieza en las diferentes rutas del país,0,aislado observado
video:g0aCNpZaAZ8,PMT de Guatemala es ejemplo para otros municipios,0,aislado observado
video:gF42rhVhP8w,Tenemos un gran problema con la seguridad de las construcciones en Guatemala,0,aislado observado
video:gbcggAMJczg,Dionel  Art s Vídeo danzando con la muerte,0,aislado observado
video:go4jAhCJS0w,Así reaccionaría la guardia presidencial de la Saas en caso de una emergencia,0,aislado observado
video:hGOvuWe8P3Q,🔴ENTREGAN A NOROÑA ALITO NEGOCIA CON MONREAL PREPARAN MEGÁFONOS PORROS DEL PRIAN,0,aislado observado
video:hy0mwEHr6V0,MI3 será utilizado dentro de las evaluaciones a aspirantes a PNC,0,aislado observado
video:iBX5DMQSf3s,Conmemoramos el 153 Aniversario de la Escuela Politécnica y Día del cadete.,0,aislado observado
video:iCbGedZRRE8,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,0,aislado observado
video:iEmScdnYQdg,La nueva ruta que evita El Trébol,0,aislado observado
